transaction_id,customer_id,transaction_date,transaction_type,amount,transaction_status,channel,country,fraud_flag
63,1840,2023-01-03 14:00:00,DEBIT,45902,SUCCESS,CARD,India,0
64,1166,2023-01-03 15:00:00,CREDIT,68120,SUCCESS,UPI,USA,0
65,1273,2023-01-03 16:00:00,CREDIT,34722,SUCCESS,CARD,UAE,0
66,1387,2023-01-03 17:00:00,DEBIT,2697,SUCCESS,CARD,USA,0
67,1600,2023-01-03 18:00:00,DEBIT,40697,SUCCESS,NETBANKING,UAE,0
68,1315,2023-01-03 19:00:00,DEBIT,41054,SUCCESS,UPI,Singapore,0
69,1013,2023-01-03 20:00:00,DEBIT,69619,SUCCESS,CARD,UAE,0
70,1241,2023-01-03 21:00:00,DEBIT,56215,SUCCESS,CARD,UAE,0
71,1776,2023-01-03 22:00:00,DEBIT,43251,SUCCESS,NETBANKING,UAE,0
72,1345,2023-01-03 23:00:00,CREDIT,17140,SUCCESS,CARD,Singapore,1
73,1564,2023-01-04 00:00:00,CREDIT,44872,SUCCESS,CARD,UK,0
74,1897,2023-01-04 01:00:00,DEBIT,96190,SUCCESS,CARD,UAE,0
75,1339,2023-01-04 02:00:00,DEBIT,63932,SUCCESS,CARD,UK,0
76,1091,2023-01-04 03:00:00,CREDIT,28016,SUCCESS,CARD,India,0
77,1366,2023-01-04 04:00:00,CREDIT,44971,SUCCESS,NETBANKING,USA,0
78,1955,2023-01-04 05:00:00,DEBIT,26472,FAILED,CARD,UK,0
79,1454,2023-01-04 06:00:00,DEBIT,61807,SUCCESS,CARD,India,0
80,1427,2023-01-04 07:00:00,CREDIT,39180,SUCCESS,CARD,USA,0
81,1508,2023-01-04 08:00:00,DEBIT,42822,SUCCESS,CARD,UAE,0
82,1775,2023-01-04 09:00:00,CREDIT,29148,SUCCESS,UPI,UAE,0
83,1942,2023-01-04 10:00:00,CREDIT,85305,SUCCESS,UPI,UAE,0
84,1034,2023-01-04 11:00:00,CREDIT,9877,SUCCESS,UPI,Singapore,0
85,1205,2023-01-04 12:00:00,CREDIT,54811,SUCCESS,UPI,Singapore,0
86,1080,2023-01-04 13:00:00,DEBIT,36431,SUCCESS,NETBANKING,Singapore,0
87,1931,2023-01-04 14:00:00,CREDIT,21068,FAILED,UPI,Singapore,0
88,1561,2023-01-04 15:00:00,DEBIT,54069,SUCCESS,NETBANKING,India,0
89,1871,2023-01-04 16:00:00,DEBIT,11392,SUCCESS,UPI,India,0
90,1387,2023-01-04 17:00:00,CREDIT,40894,SUCCESS,NETBANKING,UAE,0
91,1001,2023-01-04 18:00:00,DEBIT,79559,SUCCESS,UPI,USA,0
92,1389,2023-01-04 19:00:00,DEBIT,50292,SUCCESS,CARD,Singapore,0
93,1565,2023-01-04 20:00:00,DEBIT,27803,SUCCESS,UPI,USA,0
94,1105,2023-01-04 21:00:00,CREDIT,84293,SUCCESS,UPI,India,0
95,1771,2023-01-04 22:00:00,DEBIT,69265,SUCCESS,UPI,Singapore,0
96,1821,2023-01-04 23:00:00,DEBIT,67750,SUCCESS,CARD,India,0
97,1476,2023-01-05 00:00:00,CREDIT,56616,SUCCESS,NETBANKING,India,0
98,1702,2023-01-05 01:00:00,CREDIT,91210,SUCCESS,NETBANKING,UK,0
99,1401,2023-01-05 02:00:00,DEBIT,97985,SUCCESS,CARD,India,0
100,1729,2023-01-05 03:00:00,DEBIT,22357,FAILED,UPI,UAE,1
101,1555,2023-01-05 04:00:00,CREDIT,83609,SUCCESS,UPI,India,0
102,1161,2023-01-05 05:00:00,DEBIT,91373,SUCCESS,UPI,Singapore,0
103,1201,2023-01-05 06:00:00,CREDIT,51772,SUCCESS,NETBANKING,UAE,0
104,1957,2023-01-05 07:00:00,DEBIT,63408,SUCCESS,NETBANKING,India,0
105,1995,2023-01-05 08:00:00,CREDIT,77683,SUCCESS,CARD,UAE,0
106,1269,2023-01-05 09:00:00,DEBIT,22213,FAILED,CARD,India,1
107,1862,2023-01-05 10:00:00,CREDIT,794,SUCCESS,NETBANKING,UAE,0
108,1815,2023-01-05 11:00:00,CREDIT,15688,SUCCESS,UPI,USA,0
109,1270,2023-01-05 12:00:00,CREDIT,61856,SUCCESS,UPI,UK,0
110,1455,2023-01-05 13:00:00,CREDIT,64185,SUCCESS,UPI,UAE,0
111,1461,2023-01-05 14:00:00,DEBIT,61242,SUCCESS,UPI,Singapore,0
112,1726,2023-01-05 15:00:00,CREDIT,64473,SUCCESS,CARD,UK,0
113,1251,2023-01-05 16:00:00,DEBIT,85703,SUCCESS,CARD,UK,0
114,1701,2023-01-05 17:00:00,CREDIT,6804,FAILED,NETBANKING,India,0
115,1295,2023-01-05 18:00:00,CREDIT,40236,SUCCESS,CARD,UAE,0
116,1724,2023-01-05 19:00:00,CREDIT,67607,SUCCESS,UPI,UK,0
117,1719,2023-01-05 20:00:00,CREDIT,47461,SUCCESS,NETBANKING,Singapore,0
118,1748,2023-01-05 21:00:00,CREDIT,58947,SUCCESS,CARD,Singapore,0
119,1337,2023-01-05 22:00:00,CREDIT,11541,SUCCESS,CARD,Singapore,0
120,1878,2023-01-05 23:00:00,DEBIT,97112,SUCCESS,CARD,India,0
121,1052,2023-01-06 00:00:00,CREDIT,14777,SUCCESS,CARD,USA,0
122,1791,2023-01-06 01:00:00,DEBIT,27918,FAILED,CARD,UAE,0
123,1921,2023-01-06 02:00:00,DEBIT,1968,SUCCESS,UPI,UK,0
124,1216,2023-01-06 03:00:00,CREDIT,83691,FAILED,UPI,UAE,0
125,1763,2023-01-06 04:00:00,DEBIT,67364,SUCCESS,UPI,UK,0
126,1187,2023-01-06 05:00:00,DEBIT,73268,SUCCESS,CARD,India,0
127,1379,2023-01-06 06:00:00,DEBIT,12143,SUCCESS,NETBANKING,UAE,0
128,1492,2023-01-06 07:00:00,DEBIT,72039,FAILED,UPI,India,0
129,1040,2023-01-06 08:00:00,CREDIT,15832,SUCCESS,UPI,India,0
130,1156,2023-01-06 09:00:00,DEBIT,55344,SUCCESS,CARD,UAE,0
131,1014,2023-01-06 10:00:00,DEBIT,18626,SUCCESS,NETBANKING,UAE,0
132,1812,2023-01-06 11:00:00,DEBIT,9440,SUCCESS,UPI,UK,0
133,1064,2023-01-06 12:00:00,DEBIT,22494,SUCCESS,UPI,Singapore,0
134,1856,2023-01-06 13:00:00,CREDIT,98657,FAILED,NETBANKING,India,0
135,1838,2023-01-06 14:00:00,CREDIT,4202,FAILED,CARD,USA,0
136,1520,2023-01-06 15:00:00,DEBIT,19259,SUCCESS,NETBANKING,UK,0
137,1343,2023-01-06 16:00:00,DEBIT,65192,SUCCESS,CARD,UK,0
138,1128,2023-01-06 17:00:00,CREDIT,6312,SUCCESS,UPI,Singapore,0
139,1647,2023-01-06 18:00:00,CREDIT,97460,SUCCESS,NETBANKING,Singapore,0
140,1471,2023-01-06 19:00:00,CREDIT,37505,SUCCESS,NETBANKING,India,0
141,1062,2023-01-06 20:00:00,CREDIT,77161,SUCCESS,UPI,UK,0
142,1138,2023-01-06 21:00:00,DEBIT,94396,SUCCESS,UPI,UK,0
143,1498,2023-01-06 22:00:00,DEBIT,55286,FAILED,CARD,USA,0
144,1592,2023-01-06 23:00:00,CREDIT,44339,SUCCESS,UPI,India,0
145,1391,2023-01-07 00:00:00,CREDIT,93093,SUCCESS,UPI,India,0
146,1674,2023-01-07 01:00:00,CREDIT,10632,SUCCESS,NETBANKING,Singapore,0
147,1418,2023-01-07 02:00:00,CREDIT,79154,SUCCESS,CARD,India,0
148,1288,2023-01-07 03:00:00,DEBIT,72112,SUCCESS,UPI,USA,0
149,1378,2023-01-07 04:00:00,DEBIT,85379,SUCCESS,NETBANKING,India,0
150,1772,2023-01-07 05:00:00,DEBIT,66640,SUCCESS,UPI,UAE,0
151,1489,2023-01-07 06:00:00,CREDIT,3371,SUCCESS,UPI,UAE,0
152,1230,2023-01-07 07:00:00,DEBIT,45582,SUCCESS,UPI,USA,0
153,1040,2023-01-07 08:00:00,DEBIT,309,FAILED,UPI,Singapore,0
154,1027,2023-01-07 09:00:00,DEBIT,91099,SUCCESS,CARD,UK,0
155,1134,2023-01-07 10:00:00,DEBIT,5639,SUCCESS,NETBANKING,India,0
156,1200,2023-01-07 11:00:00,CREDIT,20077,SUCCESS,NETBANKING,Singapore,0
157,1839,2023-01-07 12:00:00,CREDIT,74242,SUCCESS,UPI,Singapore,0
158,1779,2023-01-07 13:00:00,CREDIT,99688,SUCCESS,NETBANKING,India,0
159,1929,2023-01-07 14:00:00,CREDIT,68784,SUCCESS,UPI,UK,0
160,1032,2023-01-07 15:00:00,CREDIT,99172,SUCCESS,NETBANKING,India,0
161,1047,2023-01-07 16:00:00,DEBIT,5707,SUCCESS,CARD,UK,0
162,1502,2023-01-07 17:00:00,DEBIT,85222,SUCCESS,CARD,USA,0
163,1406,2023-01-07 18:00:00,DEBIT,94886,SUCCESS,NETBANKING,UK,0
164,1573,2023-01-07 19:00:00,CREDIT,52039,SUCCESS,UPI,Singapore,0
165,1727,2023-01-07 20:00:00,DEBIT,18694,SUCCESS,UPI,USA,0
166,1804,2023-01-07 21:00:00,DEBIT,58482,SUCCESS,UPI,UAE,0
167,1098,2023-01-07 22:00:00,DEBIT,7499,SUCCESS,UPI,USA,0
168,1683,2023-01-07 23:00:00,DEBIT,25217,SUCCESS,CARD,UK,0
169,1871,2023-01-08 00:00:00,DEBIT,98762,SUCCESS,UPI,USA,0
170,1725,2023-01-08 01:00:00,DEBIT,33717,SUCCESS,UPI,USA,0
171,1986,2023-01-08 02:00:00,CREDIT,7598,SUCCESS,UPI,UAE,0
172,1546,2023-01-08 03:00:00,CREDIT,50724,SUCCESS,UPI,UK,0
173,1960,2023-01-08 04:00:00,CREDIT,9728,SUCCESS,CARD,Singapore,0
174,1738,2023-01-08 05:00:00,CREDIT,429,SUCCESS,NETBANKING,USA,1
175,1612,2023-01-08 06:00:00,CREDIT,38719,SUCCESS,NETBANKING,India,0
176,1942,2023-01-08 07:00:00,DEBIT,7132,SUCCESS,UPI,Singapore,0
177,1461,2023-01-08 08:00:00,DEBIT,48194,SUCCESS,UPI,USA,0
178,1642,2023-01-08 09:00:00,DEBIT,38134,SUCCESS,NETBANKING,Singapore,0
179,1768,2023-01-08 10:00:00,CREDIT,86258,SUCCESS,CARD,India,0
180,1004,2023-01-08 11:00:00,DEBIT,55364,SUCCESS,CARD,Singapore,0
181,1217,2023-01-08 12:00:00,DEBIT,94220,SUCCESS,CARD,Singapore,0
182,1502,2023-01-08 13:00:00,CREDIT,47950,SUCCESS,CARD,India,0
183,1766,2023-01-08 14:00:00,DEBIT,4822,SUCCESS,CARD,India,0
184,1397,2023-01-08 15:00:00,CREDIT,17872,SUCCESS,CARD,India,0
185,1870,2023-01-08 16:00:00,CREDIT,86205,SUCCESS,CARD,UAE,0
186,1794,2023-01-08 17:00:00,DEBIT,41779,SUCCESS,CARD,India,0
187,1392,2023-01-08 18:00:00,CREDIT,68871,SUCCESS,CARD,Singapore,0
188,1206,2023-01-08 19:00:00,DEBIT,4676,FAILED,UPI,India,0
189,1014,2023-01-08 20:00:00,DEBIT,26807,SUCCESS,CARD,USA,0
190,1857,2023-01-08 21:00:00,DEBIT,99504,SUCCESS,UPI,India,0
191,1553,2023-01-08 22:00:00,CREDIT,41732,SUCCESS,NETBANKING,India,0
192,1891,2023-01-08 23:00:00,CREDIT,41576,SUCCESS,UPI,UK,0
193,1460,2023-01-09 00:00:00,CREDIT,30385,SUCCESS,NETBANKING,Singapore,0
194,1690,2023-01-09 01:00:00,DEBIT,24254,SUCCESS,UPI,Singapore,0
195,1574,2023-01-09 02:00:00,CREDIT,20154,SUCCESS,NETBANKING,USA,0
196,1863,2023-01-09 03:00:00,CREDIT,17265,SUCCESS,UPI,UAE,0
197,1742,2023-01-09 04:00:00,DEBIT,14539,SUCCESS,UPI,UK,0
198,1240,2023-01-09 05:00:00,DEBIT,44618,SUCCESS,NETBANKING,USA,0
199,1563,2023-01-09 06:00:00,CREDIT,88151,SUCCESS,CARD,USA,0
200,1095,2023-01-09 07:00:00,DEBIT,27062,SUCCESS,CARD,Singapore,0
201,1899,2023-01-09 08:00:00,DEBIT,54034,SUCCESS,CARD,UK,1
202,1733,2023-01-09 09:00:00,CREDIT,37863,SUCCESS,CARD,Singapore,0
203,1484,2023-01-09 10:00:00,CREDIT,64194,SUCCESS,CARD,UAE,0
204,1406,2023-01-09 11:00:00,DEBIT,19564,SUCCESS,UPI,Singapore,0
205,1230,2023-01-09 12:00:00,DEBIT,42136,SUCCESS,CARD,India,0
206,1748,2023-01-09 13:00:00,DEBIT,96049,SUCCESS,UPI,Singapore,0
207,1654,2023-01-09 14:00:00,CREDIT,33370,SUCCESS,NETBANKING,India,1
208,1170,2023-01-09 15:00:00,CREDIT,42399,SUCCESS,CARD,USA,0
209,1540,2023-01-09 16:00:00,CREDIT,85905,SUCCESS,CARD,UAE,0
210,1035,2023-01-09 17:00:00,CREDIT,31641,SUCCESS,CARD,India,0
211,1524,2023-01-09 18:00:00,CREDIT,73645,SUCCESS,CARD,UAE,1
212,1159,2023-01-09 19:00:00,CREDIT,82643,SUCCESS,UPI,Singapore,0
213,1838,2023-01-09 20:00:00,DEBIT,92098,SUCCESS,UPI,Singapore,0
214,1698,2023-01-09 21:00:00,DEBIT,77178,SUCCESS,UPI,USA,0
215,1242,2023-01-09 22:00:00,DEBIT,83070,SUCCESS,NETBANKING,Singapore,1
216,1085,2023-01-09 23:00:00,DEBIT,29865,SUCCESS,UPI,India,0
217,1795,2023-01-10 00:00:00,CREDIT,23869,SUCCESS,CARD,USA,0
218,1577,2023-01-10 01:00:00,DEBIT,88101,SUCCESS,NETBANKING,UAE,0
219,1681,2023-01-10 02:00:00,CREDIT,87504,FAILED,NETBANKING,USA,0
220,1556,2023-01-10 03:00:00,DEBIT,20256,SUCCESS,CARD,UAE,0
221,1573,2023-01-10 04:00:00,DEBIT,85936,SUCCESS,CARD,UK,0
222,1952,2023-01-10 05:00:00,DEBIT,50581,SUCCESS,CARD,India,0
223,1645,2023-01-10 06:00:00,DEBIT,13535,FAILED,CARD,India,0
224,1795,2023-01-10 07:00:00,DEBIT,69750,SUCCESS,UPI,UAE,0
225,1027,2023-01-10 08:00:00,CREDIT,46436,SUCCESS,NETBANKING,Singapore,0
226,1619,2023-01-10 09:00:00,CREDIT,36235,SUCCESS,CARD,Singapore,0
227,1555,2023-01-10 10:00:00,DEBIT,73731,SUCCESS,UPI,UK,0
228,1339,2023-01-10 11:00:00,CREDIT,38009,SUCCESS,CARD,UAE,0
229,1797,2023-01-10 12:00:00,DEBIT,69587,SUCCESS,UPI,UK,0
230,1957,2023-01-10 13:00:00,DEBIT,21568,SUCCESS,CARD,UAE,0
231,1330,2023-01-10 14:00:00,CREDIT,92709,SUCCESS,CARD,UK,0
232,1639,2023-01-10 15:00:00,DEBIT,47755,SUCCESS,CARD,UAE,0
233,1505,2023-01-10 16:00:00,DEBIT,34441,SUCCESS,UPI,India,0
234,1347,2023-01-10 17:00:00,DEBIT,64282,SUCCESS,CARD,UK,0
235,1472,2023-01-10 18:00:00,DEBIT,51886,SUCCESS,UPI,UK,1
236,1230,2023-01-10 19:00:00,DEBIT,68404,SUCCESS,UPI,UAE,0
237,1189,2023-01-10 20:00:00,DEBIT,46614,SUCCESS,NETBANKING,USA,0
238,1224,2023-01-10 21:00:00,DEBIT,34079,SUCCESS,UPI,USA,0
239,1384,2023-01-10 22:00:00,CREDIT,90987,SUCCESS,UPI,India,0
240,1376,2023-01-10 23:00:00,DEBIT,81081,SUCCESS,UPI,Singapore,0
241,1282,2023-01-11 00:00:00,DEBIT,55207,SUCCESS,UPI,Singapore,0
242,1957,2023-01-11 01:00:00,CREDIT,1260,SUCCESS,UPI,India,0
243,1632,2023-01-11 02:00:00,DEBIT,87997,SUCCESS,NETBANKING,Singapore,1
244,1627,2023-01-11 03:00:00,DEBIT,72677,SUCCESS,CARD,UAE,0
245,1972,2023-01-11 04:00:00,CREDIT,84403,SUCCESS,NETBANKING,USA,0
246,1744,2023-01-11 05:00:00,DEBIT,10946,SUCCESS,NETBANKING,India,0
247,1258,2023-01-11 06:00:00,DEBIT,20024,SUCCESS,CARD,UAE,0
248,1358,2023-01-11 07:00:00,DEBIT,13982,SUCCESS,UPI,India,0
249,1709,2023-01-11 08:00:00,CREDIT,80374,SUCCESS,CARD,USA,0
250,1455,2023-01-11 09:00:00,CREDIT,86655,SUCCESS,UPI,Singapore,0
251,1410,2023-01-11 10:00:00,CREDIT,1195,FAILED,CARD,UAE,0
252,1648,2023-01-11 11:00:00,DEBIT,41083,FAILED,NETBANKING,USA,0
253,1317,2023-01-11 12:00:00,CREDIT,14223,SUCCESS,UPI,India,0
254,1676,2023-01-11 13:00:00,DEBIT,93768,SUCCESS,NETBANKING,UK,0
255,1224,2023-01-11 14:00:00,CREDIT,66715,SUCCESS,UPI,UAE,0
256,1818,2023-01-11 15:00:00,CREDIT,95293,SUCCESS,CARD,India,1
257,1233,2023-01-11 16:00:00,DEBIT,45378,SUCCESS,CARD,India,0
258,1683,2023-01-11 17:00:00,DEBIT,98011,SUCCESS,CARD,USA,0
259,1663,2023-01-11 18:00:00,CREDIT,90390,SUCCESS,CARD,India,0
260,1974,2023-01-11 19:00:00,CREDIT,52099,SUCCESS,CARD,UAE,0
261,1826,2023-01-11 20:00:00,CREDIT,31253,SUCCESS,NETBANKING,UAE,0
262,1373,2023-01-11 21:00:00,DEBIT,18444,SUCCESS,NETBANKING,India,0
263,1671,2023-01-11 22:00:00,DEBIT,99877,SUCCESS,UPI,USA,0
264,1607,2023-01-11 23:00:00,CREDIT,37756,SUCCESS,NETBANKING,UAE,0
265,1471,2023-01-12 00:00:00,CREDIT,70615,SUCCESS,UPI,UK,0
266,1232,2023-01-12 01:00:00,CREDIT,1312,SUCCESS,UPI,Singapore,0
267,1691,2023-01-12 02:00:00,DEBIT,9101,SUCCESS,NETBANKING,USA,0
268,1112,2023-01-12 03:00:00,DEBIT,78884,SUCCESS,NETBANKING,USA,0
269,1829,2023-01-12 04:00:00,CREDIT,98823,SUCCESS,UPI,Singapore,0
270,1496,2023-01-12 05:00:00,DEBIT,81244,SUCCESS,NETBANKING,Singapore,0
271,1441,2023-01-12 06:00:00,CREDIT,36527,SUCCESS,NETBANKING,UAE,0
272,1563,2023-01-12 07:00:00,CREDIT,31468,SUCCESS,NETBANKING,India,0
273,1267,2023-01-12 08:00:00,DEBIT,70919,SUCCESS,CARD,India,0
274,1509,2023-01-12 09:00:00,DEBIT,61260,SUCCESS,CARD,UK,0
275,1806,2023-01-12 10:00:00,DEBIT,25954,FAILED,UPI,India,0
276,1385,2023-01-12 11:00:00,DEBIT,10815,SUCCESS,NETBANKING,UK,0
277,1386,2023-01-12 12:00:00,CREDIT,81801,SUCCESS,UPI,UK,0
278,1112,2023-01-12 13:00:00,DEBIT,58884,SUCCESS,NETBANKING,USA,0
279,1612,2023-01-12 14:00:00,CREDIT,99744,FAILED,CARD,USA,0
280,1624,2023-01-12 15:00:00,DEBIT,26897,SUCCESS,NETBANKING,UAE,0
281,1951,2023-01-12 16:00:00,CREDIT,47673,SUCCESS,NETBANKING,Singapore,0
282,1080,2023-01-12 17:00:00,DEBIT,76220,SUCCESS,NETBANKING,Singapore,0
283,1698,2023-01-12 18:00:00,CREDIT,14880,FAILED,CARD,UK,0
284,1112,2023-01-12 19:00:00,CREDIT,38005,SUCCESS,CARD,Singapore,0
285,1001,2023-01-12 20:00:00,DEBIT,21673,SUCCESS,CARD,UK,0
286,1641,2023-01-12 21:00:00,CREDIT,33459,SUCCESS,UPI,Singapore,0
287,1219,2023-01-12 22:00:00,DEBIT,66162,SUCCESS,NETBANKING,UAE,0
288,1565,2023-01-12 23:00:00,CREDIT,73491,SUCCESS,CARD,USA,0
289,1854,2023-01-13 00:00:00,CREDIT,43563,SUCCESS,UPI,USA,0
290,1996,2023-01-13 01:00:00,CREDIT,99696,SUCCESS,CARD,UK,0
291,1735,2023-01-13 02:00:00,CREDIT,95118,SUCCESS,NETBANKING,Singapore,0
292,1224,2023-01-13 03:00:00,DEBIT,16671,FAILED,UPI,India,0
293,1384,2023-01-13 04:00:00,CREDIT,97376,SUCCESS,CARD,UAE,0
294,1402,2023-01-13 05:00:00,DEBIT,19242,SUCCESS,CARD,Singapore,0
295,1637,2023-01-13 06:00:00,DEBIT,25204,SUCCESS,UPI,India,0
296,1129,2023-01-13 07:00:00,CREDIT,8725,SUCCESS,UPI,UAE,0
297,1052,2023-01-13 08:00:00,DEBIT,39299,FAILED,UPI,UAE,0
298,1683,2023-01-13 09:00:00,DEBIT,16026,FAILED,UPI,USA,0
299,1729,2023-01-13 10:00:00,DEBIT,31318,SUCCESS,UPI,UK,0
300,1671,2023-01-13 11:00:00,CREDIT,44572,FAILED,CARD,Singapore,1
301,1709,2023-01-13 12:00:00,CREDIT,92016,SUCCESS,UPI,UAE,0
302,1415,2023-01-13 13:00:00,DEBIT,20666,SUCCESS,UPI,Singapore,0
303,1246,2023-01-13 14:00:00,DEBIT,56225,SUCCESS,NETBANKING,UAE,0
304,1835,2023-01-13 15:00:00,DEBIT,33305,SUCCESS,CARD,USA,0
305,1438,2023-01-13 16:00:00,CREDIT,29817,SUCCESS,NETBANKING,UK,0
306,1202,2023-01-13 17:00:00,DEBIT,50084,SUCCESS,CARD,India,0
307,1183,2023-01-13 18:00:00,DEBIT,25235,SUCCESS,CARD,India,1
308,1122,2023-01-13 19:00:00,DEBIT,28264,SUCCESS,CARD,USA,0
309,1400,2023-01-13 20:00:00,CREDIT,74589,SUCCESS,UPI,UAE,0
310,1766,2023-01-13 21:00:00,DEBIT,38662,SUCCESS,NETBANKING,USA,0
311,1293,2023-01-13 22:00:00,CREDIT,69210,SUCCESS,CARD,UK,0
312,1279,2023-01-13 23:00:00,CREDIT,20269,FAILED,CARD,India,0
313,1836,2023-01-14 00:00:00,DEBIT,59958,FAILED,CARD,Singapore,0
314,1883,2023-01-14 01:00:00,CREDIT,21704,SUCCESS,NETBANKING,India,0
315,1609,2023-01-14 02:00:00,CREDIT,89770,SUCCESS,CARD,UK,0
